#zero_crossing_rate,spectral_centroid,spectral_contrast,spectral_bandwidth,spectral_flatness,spectral_rolloff,tempo,mfcc[0],mfcc[1],mfcc[2],mfcc[3],mfcc[4],mfcc[5],mfcc[6],mfcc[7],mfcc[8],mfcc[9],mfcc[10],mfcc[11],mfcc[12],mfcc[13],mfcc[14],mfcc[15],mfcc[16],mfcc[17],mfcc[18],mfcc[19],label
0.05721753,1084.723132,23.94149717,1255.086192,0.019176077,2187.990936,0.221515718,-180.3613281,170.5593109,-42.47660446,48.22245407,-8.248719215,21.8081913,-5.473946571,9.316516876,4.775532722,-0.06489785,9.100829124,-7.869134426,5.202847481,-3.532064915,1.865242362,-0.468985558,3.33596015,3.191496134,2.34781456,2.376126051,1
0.056771955,1074.504211,24.2415169,1245.919064,4.44E-05,2177.053502,0.227293537,-192.4302979,172.487442,-40.87810516,46.28503418,-5.830900669,18.0964756,-2.676034689,10.00223541,7.139316559,2.871081591,10.36538219,-7.302223206,5.584714413,-0.739514112,1.185685277,-0.174499556,2.82345295,2.109111309,1.791356325,2.246897221,1
0.069766207,1221.894577,24.62091039,1347.036544,6.10E-05,2451.793508,0.225509395,-165.3034821,169.8585968,-52.4419136,54.39411926,-12.66713619,25.17173195,-8.744848251,13.13517952,4.751685619,3.443639755,9.556378365,-6.004089355,7.986562252,-5.134930611,3.348085642,-4.972367764,3.612766504,0.331620544,2.465822935,1.299961329,1
0.063286465,1141.969702,24.30124023,1288.71917,5.35E-05,2284.823684,0.218102996,-164.9098511,174.2740173,-45.77783203,48.61714554,-11.24559498,21.71178818,-3.514363766,11.82011509,5.629970074,0.008987238,6.212085724,-7.738233566,3.559583426,-4.463412762,2.693676472,-3.301470995,1.491378069,-1.685760975,1.048519492,0.867089808,1
0.061157982,1130.406617,24.78643079,1231.037706,4.73E-05,2209.090809,0.213624474,-185.0116272,170.5547333,-44.30252838,41.53998566,-12.82271004,15.26755047,-2.601472855,6.164860725,0.285927415,-3.358235836,3.873728752,-8.526250839,1.635684133,-5.716682911,-1.320587277,-5.767921448,-3.450207472,-4.15053463,-0.866921246,-0.865317225,1
0.07449766,1286.964112,25.91122307,1289.090408,4.68E-05,2461.718448,0.212230681,-182.312912,158.9620209,-51.22856522,40.93728256,-23.55649567,12.0483675,-10.33909893,6.279375553,-1.074003577,-6.019101143,4.0613451,-10.68640423,-0.950193346,-8.030337334,-3.625718355,-7.153873444,0.125380263,-4.540018082,0.870488107,3.029228926,1
0.067845962,1174.453744,24.47761016,1300.646844,5.62E-05,2347.394139,0.216708417,-155.210968,167.5832977,-40.9127388,44.50086594,-10.7535677,17.20436096,-4.246819496,10.17851639,3.547982216,-1.415878773,6.48247242,-6.022678852,3.696345091,-2.990383387,2.076737165,-2.480199575,2.997684479,-2.896794319,1.301548243,5.275348186,1
0.065532295,1177.193686,24.9383408,1315.714599,5.70E-05,2337.110868,0.232659121,-150.6303406,165.6357117,-38.69342804,45.44286346,-11.3748579,16.64129639,-7.818825722,10.93828869,3.270203114,1.826961398,4.388690948,-7.980474949,4.017535686,-4.911139488,0.446708739,-6.458545208,2.3010993,-2.217853069,0.873933315,2.056459665,1
0.057785932,1159.778846,24.589685,1288.019348,6.32E-05,2349.914957,0.231544987,-215.3602905,157.601532,-41.06957626,39.0705719,-7.614851952,15.4475441,1.704862475,9.035388947,10.09725571,-0.041150827,9.476984024,-4.329502583,5.077683449,-0.567779005,0.673266768,0.523501277,-3.056023359,-3.741356134,-4.279880524,0.545186937,1
0.052241559,1073.25576,24.42914634,1268.145675,5.06E-05,2175.30768,0.233093942,-176.8781586,169.1541748,-35.7651062,44.03857422,-9.25387764,16.12621498,-2.759509325,12.43837643,8.213932037,0.638660729,7.197468281,-5.627395153,4.629313469,-3.682368517,2.411782026,-0.569306672,0.938432038,-2.688878775,-3.618133545,0.382269502,1
